frame,altitude,airspeed,direction
9581,13.06,42.47,11.62
9582,13.05,42.48,11.59
9583,13.05,42.48,11.56
9584,13.05,42.49,11.53
9585,13.05,42.50,11.50
9586,13.05,42.51,11.47
9587,13.05,42.52,11.44
9588,13.05,42.52,11.41
9589,13.04,42.53,11.38
9590,13.04,42.54,11.35
9591,13.04,42.54,11.32
9592,13.04,42.55,11.29
9593,13.04,42.56,11.26
9594,13.04,42.56,11.23
9595,13.04,42.57,11.20
9596,13.03,42.57,11.17
9597,13.03,42.58,11.15
9598,13.03,42.58,11.12
9599,13.03,42.59,11.09
9600,13.03,42.59,11.06
9601,13.03,42.59,11.03
9602,13.03,42.60,11.00
9603,13.02,42.60,10.97
9604,13.02,42.60,10.94
9605,13.02,42.60,10.92
9606,13.02,42.61,10.89
9607,13.02,42.61,10.86
9608,13.02,42.61,10.83
9609,13.01,42.61,10.80
9610,13.01,42.61,10.77
9611,13.01,42.61,10.74
9612,13.01,42.61,10.72
9613,13.01,42.61,10.69
9614,13.01,42.60,10.66
9615,13.00,42.60,10.63
9616,13.00,42.60,10.60
9617,13.00,42.60,10.57
9618,13.00,42.59,10.54
9619,13.00,42.59,10.52
9620,12.99,42.58,10.49
9621,12.99,42.58,10.46
9622,12.99,42.57,10.43
9623,12.99,42.56,10.40
9624,12.98,42.56,10.37
9625,12.98,42.55,10.34
9626,12.98,42.54,10.32
9627,12.98,42.53,10.29
9628,12.97,42.52,10.26
9629,12.97,42.51,10.23
9630,12.97,42.5,10.2
9637,12.95,42.3,10.1
9771,14.17,33.2,17.0
9774,14.2,33.0,17.1
9781,14.3,32.5,16.9
9804,14.45,30.9,16.2
9837,14.85,28.5,19
9867,15.15,26.5,20.3
9890,15.30,25.20,19.15
9891,15.31,25.18,19.19
9892,15.31,25.15,19.24
9893,15.32,25.12,19.28
9894,15.32,25.10,19.32
9895,15.33,25.07,19.37
9896,15.34,25.05,19.41
9897,15.34,25.02,19.46
9898,15.35,25.00,19.50
9899,15.36,24.97,19.58
9900,15.36,24.93,19.66
9901,15.37,24.90,19.74
9902,15.38,24.87,19.82
9903,15.38,24.83,19.90
9904,15.39,24.80,19.98
9905,15.40,24.77,20.06
9906,15.40,24.73,20.14
9907,15.41,24.70,20.22
9908,15.42,24.67,20.30
9909,15.42,24.63,20.38
9910,15.43,24.60,20.46
9911,15.44,24.57,20.54
9912,15.44,24.53,20.62
9913,15.45,24.50,20.70
9914,15.46,24.47,20.78
9915,15.46,24.43,20.86
9916,15.47,24.40,20.94
9917,15.48,24.37,21.02
9918,15.48,24.33,21.10
9919,15.49,24.30,21.18
9920,15.50,24.27,21.26
9921,15.50,24.23,21.34
9922,15.51,24.20,21.42
9923,15.52,24.17,21.50
9924,15.52,24.13,21.58
9925,15.53,24.10,21.66
9926,15.54,24.07,21.74
9927,15.54,24.03,21.82
9928,15.55,24.00,21.90
10565,13.35,26.2,9
