frame,altitude,airspeed,direction
2098,23.076827600378973,31.768896955829472,29.295738580186963
2099,23.10844270659265,31.812540882242143,29.33605092837675
2100,23.13648517976537,31.85109614243272,29.37203090097654
2101,23.160155011515737,31.88339710997867,29.40262601366994
2102,23.178915577982675,31.90861734876462,29.427108729649362
2103,23.192488963869334,31.926259338967707,29.445073469703885
2104,23.20084103239861,31.936134016511243,29.45642058632194
2105,23.204157909314656,31.938333329342566,29.46132956782361
2106,23.20281573439561,31.933197960544543,29.460223885341065
2107,23.197345623523187,31.921281721694907,29.45372971137553
2108,23.188395784250186,31.903313757554383,29.442630625999584
2109,23.176692647181238,31.880159527101068,29.427820412523403
2110,23.163002725899627,31.852781459939234,29.41025597703117
2111,23.14809671287706,31.822200174074293,29.390912264201177
2112,23.132717071993365,31.789457140225675,29.370740804891796
2113,23.117550114440615,31.755579876252405,29.350633212954687
2114,23.103203258005433,31.72155139207366,29.331390511765786
2115,23.09018788322383,31.688285798190414,29.31369873723527
2116,23.07890792553354,31.656610763235086,29.29811113770334
2117,23.069654090445564,31.627256034199643,29.285037360207436
2118,23.062603357097668,31.60084615964102,29.27473972723362
2119,23.05782325041788,31.577894295914923,29.2673361376459
2120,23.055280217461497,31.558794958882977,29.26280888372686
2121,23.054851341154485,31.543817848139362,29.261018691988184
2122,23.056338564598516,31.533107092047466,29.261723062800808
2123,23.059484579443104,31.526687256983063,29.26459757842485
2124,23.063989549293108,31.524473249482675,29.269258628799033
2125,23.06952788918053,31.526280412476332,29.275286086509222
2126,23.07576439938182,31.531834054256343,29.282244819873764
2127,23.08236915032472,31.54078065064423,29.289704359824153
2128,23.089030628751996,31.55270227973072,29.297256307073198
2129,23.095466777461464,31.56713248347749,29.304529235200004
2130,23.10143368586517,31.583569627132402,29.31120092577461
2131,23.106731810841364,31.60148522426429,29.317007627390776
2132,23.1112097220969,31.620328394635845,29.321749894677847
2133,23.11476546952137,31.63953009428435,29.325294788917756
2134,23.11734575868716,31.658510311892098,29.327574598284126
2135,23.118943192544787,31.676689587595586,29.32858249167739
2136,23.11959189121232,31.693504644611846,29.328365810514295
2137,23.119361837171166,31.708426960880512,29.32701794045391
2138,23.11835231057236,31.72098261394508,29.32466952700646
2139,23.116684779847386,31.73077159125155,29.32147931393447
2140,23.114495598111045,31.737484870053986,29.3176245916825
2141,23.11192882810307,31.74091785187242,29.31329144989793
2142,23.109129480122288,31.740979116240975,29.308665469733835
2143,23.106237401227343,31.737694095107948,29.303923608514733
2144,23.10338200263271,31.731204373768616,29.299227756260603
2145,23.1006779583744,31.721763774243282,29.294720047394318
2146,23.098221954446853,31.709730704544636,29.290519598491297
2147,23.096090515956515,31.69555445431156,29.286720224010576
2148,23.094338892314948,31.679754346218186,29.283389077425124
2149,23.093000938653585,31.662893542301912,29.280566550782435
2150,23.092089875241964,31.64555063347346,29.278267650168114
2151,23.091599710999756,31.628291767744553,29.27648475297988
2152,23.091507091547808,31.611645335318297,29.275191492228995
2153,23.091773521167166,31.596080596169752,29.27434737201636
2154,23.09234811057959,31.58199109861972,29.27390257019945
2155,23.093170901088268,31.56968328793449,29.27380238830916
2156,23.094176546508063,31.559370335547936,29.273990878072905
2157,23.095298018997664,31.551170926094482,29.274413231715098
2158,23.09647005714403,31.54511251529369,29.275016777228526
2159,23.097632160566672,31.541138411035103,29.275750887805852
2160,23.098731007955674,31.539117926767158,29.276566421402347
2161,23.09972223590577,31.53885880420493,29.277415244717954
2162,23.100571565149718,31.54012109485866,29.27825015571187
2163,23.101255299767057,31.542631720138314,29.279025307371423
2164,23.101760254565416,31.546098990869847,29.279697095231167
2165,23.102083187012692,31.550226452031563,29.28022538705869
2166,23.102229823756087,31.55472552060412,29.280574932137082
2167,23.102213578824315,31.559326497155194,29.28071677847802
2168,23.10205406200465,31.563787649136838,29.28062953961958
2169,23.101775472548706,31.567902180438733,29.280300380525826
2170,23.10140496620924,31.57150301279243,29.27972562810626
2171,23.100971073539295,31.574465406223577,29.278910950942045
2172,23.100502235248296,31.57670753479938,29.277871091067393
2173,23.10002550700585,31.57818920817162,29.276629165290526
2174,23.09956547214163,31.578908987472328,29.275215556220026
